"A2";"A3";"A4";"A5";"A6";"A11";"A12";"A13";"A14";"A15";"A16"
22,5;0,125;"y";"p";"k";0;"f";"g";200;70;"-"
17,92;10,21;"u";"g";"ff";0;"f";"g";0;50;"-"
38,58;3,335;"u";"g";"w";14;"f";"g";383;1344;"+"
19,42;7,25;"u";"g";"m";1;"f";"g";100;1;"-"
39,25;9,5;"u";"g";"m";14;"f";"g";240;4607;"+"
34,17;2,75;"u";"g";"i";0;"t";"g";232;200;"-"
57,08;19,5;"u";"g";"c";7;"f";"g";0;3000;"+"
17,58;9;"u";"g";"aa";0;"t";"g";0;0;"+"
52,17;0;"y";"p";"ff";0;"f";"g";0;0;"-"
41,17;6,5;"u";"g";"q";3;"t";"g";145;0;"+"
27,83;1,5;"u";"g";"w";1;"t";"g";100;3;"-"
38,33;4,415;"u";"g";"c";0;"f";"g";160;0;"-"
69,17;9;"u";"g";"ff";1;"f";"g";70;6;"-"
20,75;5,085;"y";"p";"j";0;"f";"g";140;184;"-"
21,17;0;"u";"g";"c";0;"t";"s";0;0;"-"
67,75;5,5;"u";"g";"e";1;"t";"g";0;0;"+"
47,83;4,165;"u";"g";"x";0;"t";"g";520;0;"-"
30,17;0,5;"u";"g";"c";11;"f";"g";32;540;"+"
28,75;1,165;"u";"g";"k";0;"f";"s";280;0;"-"
29,83;1,25;"y";"p";"k";0;"f";"g";224;0;"-"
45;8,5;"u";"g";"cc";1;"t";"g";88;2000;"+"
20,17;5,625;"u";"g";"w";0;"f";"s";120;0;"+"
21,83;11;"u";"g";"x";6;"f";"g";121;0;"+"
36,17;0,42;"y";"p";"w";0;"t";"g";309;2;"-"
31,92;4,46;"u";"g";"cc";3;"f";"g";311;300;"+"
22,83;2,29;"u";"g";"q";7;"t";"g";140;2384;"+"
28,58;3,625;"u";"g";"aa";0;"t";"g";100;0;"-"
23,58;0,835;"u";"g";"i";0;"t";"g";220;5;"-"
18,17;10,25;"u";"g";"c";0;"f";"g";320;13;"-"
36,67;3,25;"u";"g";"q";0;"t";"g";102;639;"+"
22,5;8,46;"y";"p";"x";0;"f";"g";164;0;"+"
27,67;2;"u";"g";"x";4;"f";"g";140;7544;"+"
27;0,75;"u";"g";"c";3;"t";"g";312;150;"+"
37,5;1,75;"y";"p";"c";0;"t";"g";164;400;"-"
24,33;2,5;"y";"p";"i";0;"f";"g";200;456;"-"
52,83;15;"u";"g";"c";14;"f";"g";0;2200;"+"
33,67;1,25;"u";"g";"w";0;"f";"g";120;0;"-"
19,17;5,415;"u";"g";"i";0;"f";"g";80;484;"-"
32,33;7,5;"u";"g";"e";0;"t";"s";420;0;"-"
22,08;2,335;"u";"g";"k";0;"f";"g";180;0;"-"
40,33;7,54;"y";"p";"q";14;"f";"g";0;2300;"+"
34,17;9,17;"u";"g";"c";12;"t";"g";0;221;"+"
27,58;3,25;"y";"p";"q";2;"t";"g";369;1;"-"
40,25;21,5;"u";"g";"e";11;"f";"g";0;1200;"+"
36,25;5;"u";"g";"c";6;"f";"g";0;367;"+"
35,25;3,165;"u";"g";"x";0;"t";"g";680;0;"-"
44,17;6,665;"u";"g";"q";3;"t";"g";0;0;"+"
22,67;1,585;"y";"p";"w";6;"f";"g";80;0;"+"
29,92;1,835;"u";"g";"c";0;"f";"g";260;200;"+"
28,25;0,875;"u";"g";"m";3;"t";"g";396;0;"+"
33,58;0,25;"u";"g";"i";0;"t";"s";420;0;"-"
40;6,5;"u";"g";"aa";1;"f";"g";0;500;"+"
21,17;0,875;"y";"p";"c";0;"f";"g";280;204;"-"
38,92;1,665;"u";"g";"aa";0;"f";"g";0;390;"-"
35,75;2,415;"u";"g";"w";2;"f";"g";220;1;"-"
35,17;2,5;"u";"g";"k";7;"f";"g";150;1270;"+"
16;3,125;"u";"g";"w";1;"f";"g";0;6;"-"
23,25;5,875;"u";"g";"q";10;"f";"g";120;245;"+"
22,58;10,04;"u";"g";"x";9;"f";"g";60;396;"+"
65,17;14;"u";"g";"ff";11;"t";"g";0;1400;"+"
22,5;8,5;"u";"g";"q";10;"f";"g";80;990;"-"
35;3,375;"u";"g";"c";0;"t";"g";0;0;"-"
18,17;2,46;"u";"g";"c";2;"t";"g";160;587;"-"
16,5;1,25;"u";"g";"q";1;"f";"g";108;98;"-"
25,25;12,5;"u";"g";"d";0;"t";"g";180;1062;"-"
16,17;0,04;"u";"g";"c";0;"f";"g";0;0;"+"
27,83;4;"y";"p";"i";2;"t";"g";75;0;"-"
23,75;0,71;"u";"g";"w";1;"t";"g";240;4;"-"
21,92;0,5;"u";"g";"c";0;"f";"g";360;0;"-"
18,58;10,29;"u";"g";"ff";0;"f";"g";80;0;"-"
27,25;0,625;"u";"g";"aa";0;"t";"g";200;0;"-"
56,83;4,25;"y";"p";"ff";0;"t";"g";0;4;"-"
27,42;12,5;"u";"g";"aa";0;"t";"g";720;0;"-"
37,33;2,5;"u";"g";"i";0;"f";"g";260;246;"-"
22,67;0,75;"u";"g";"i";1;"t";"g";400;9;"-"
22,92;3,165;"y";"p";"c";0;"f";"g";160;1058;"-"
18,33;1,21;"y";"p";"e";0;"f";"g";100;0;"-"
41,58;1,75;"u";"g";"k";0;"f";"g";160;0;"-"
39,92;5;"u";"g";"i";0;"f";"g";550;0;"-"
34,92;2,5;"u";"g";"w";0;"t";"g";239;200;"+"
29,5;0,46;"u";"g";"k";4;"f";"g";380;500;"+"
38,42;0,705;"u";"g";"c";2;"f";"g";225;500;"-"
49,5;7,585;"u";"g";"i";15;"t";"g";0;5000;"+"
26,17;12,5;"y";"p";"k";0;"t";"g";0;17;"-"
20,83;8,5;"u";"g";"c";0;"f";"g";0;351;"-"
25,75;0,5;"u";"g";"c";0;"t";"g";491;0;"+"
22,08;11,46;"u";"g";"k";0;"t";"g";100;1212;"-"
35;2,5;"u";"g";"i";0;"t";"g";210;0;"-"
16,08;0,335;"u";"g";"ff";1;"f";"g";160;126;"-"
45,83;10,5;"u";"g";"q";7;"t";"g";0;0;"+"
43;0,29;"y";"p";"cc";8;"f";"g";100;375;"+"
32,42;3;"u";"g";"d";0;"t";"g";120;0;"-"
23,58;0,83;"u";"g";"q";1;"t";"g";200;11;"-"
16,25;0;"y";"p";"aa";0;"f";"g";60;0;"-"
44;2;"u";"g";"m";2;"t";"g";0;15;"+"
49,83;13,585;"u";"g";"k";0;"t";"g";0;0;"+"
32,67;9;"y";"p";"w";0;"t";"g";154;0;"+"
33,67;2,165;"u";"g";"c";0;"f";"p";120;0;"-"
22,17;12,125;"u";"g";"c";2;"t";"g";180;173;"-"
37,5;1,125;"y";"p";"d";0;"t";"g";431;0;"+"
31,83;0,04;"y";"p";"m";0;"f";"g";0;0;"-"
36,08;2,54;"u";"g";"ff";0;"f";"g";0;1000;"-"
48,58;6,5;"u";"g";"q";0;"t";"g";350;0;"+"
27,67;0,75;"u";"g";"q";0;"t";"g";220;251;"-"
25,83;12,835;"u";"g";"cc";0;"f";"g";0;2;"-"
22,08;11;"u";"g";"cc";0;"f";"g";100;0;"+"
21,92;0,54;"y";"p";"x";1;"t";"g";840;59;"+"
19,33;10,915;"u";"g";"c";2;"t";"g";200;7;"-"
30,42;1,375;"u";"g";"w";3;"f";"g";0;33;"-"
42,83;4,625;"u";"g";"q";0;"f";"s";0;0;"+"
26,75;4,5;"y";"p";"c";0;"f";"g";200;1210;"-"
18,83;0,415;"y";"p";"c";1;"f";"g";200;1;"-"
20,5;11,835;"u";"g";"c";0;"f";"g";340;0;"+"
32,33;2,5;"u";"g";"c";0;"t";"g";280;0;"-"
16,92;0,335;"y";"p";"k";0;"f";"s";200;0;"-"
26,67;14,585;"u";"g";"i";0;"t";"g";178;0;"-"
42;0,205;"u";"g";"i";0;"f";"g";400;0;"+"
22,25;9;"u";"g";"aa";0;"f";"g";0;0;"-"
18,42;9,25;"u";"g";"q";4;"f";"g";60;540;"+"
34;5,085;"y";"p";"i";0;"t";"g";480;0;"-"
26,25;1,54;"u";"g";"w";0;"f";"g";100;0;"-"
26,67;1,75;"y";"p";"c";5;"t";"g";160;5777;"+"
23,17;0;"u";"g";"cc";0;"f";"g";0;0;"+"
19,33;9,5;"u";"g";"q";0;"t";"g";60;400;"+"
56,75;12,25;"u";"g";"m";4;"t";"g";200;0;"+"
22,5;11,5;"y";"p";"m";0;"t";"g";0;4000;"-"
21,25;2,335;"u";"g";"i";4;"f";"s";80;0;"+"
24,58;12,5;"u";"g";"w";0;"t";"g";260;0;"-"
22,5;0,415;"u";"g";"i";0;"t";"s";144;0;"-"
20,25;9,96;"u";"g";"e";0;"f";"g";0;0;"+"
30,67;2,5;"u";"g";"cc";0;"t";"s";340;0;"-"
20,17;9,25;"u";"g";"c";3;"t";"g";40;28;"+"
48,08;3,75;"u";"g";"i";0;"f";"g";100;2;"-"
41,33;0;"u";"g";"c";0;"f";"g";0;0;"+"
19,5;0,165;"u";"g";"q";0;"t";"g";380;0;"-"
44,83;7;"y";"p";"c";0;"f";"g";160;2;"-"
28,75;1,5;"y";"p";"c";0;"t";"g";0;225;"-"
32,17;1,46;"u";"g";"w";16;"f";"g";120;2079;"+"
33,58;2,75;"u";"g";"m";6;"f";"g";204;0;"+"
28,33;5;"u";"g";"w";0;"t";"g";70;0;"+"
19,75;0,75;"u";"g";"c";5;"t";"g";140;5;"-"
36,67;4,415;"y";"p";"k";10;"t";"g";320;0;"+"
16,33;2,75;"u";"g";"aa";1;"f";"g";80;21;"-"
22;0,79;"u";"g";"w";1;"f";"g";420;283;"-"
48,75;8,5;"u";"g";"c";9;"f";"g";181;1655;"+"
48,08;6,04;"u";"g";"k";0;"f";"g";0;2690;"+"
26;1;"u";"g";"q";0;"t";"g";280;0;"+"
31,92;3,125;"u";"g";"ff";2;"t";"g";200;4;"-"
23,75;0,415;"y";"p";"c";2;"f";"g";128;6;"-"
29,67;1,415;"u";"g";"w";1;"f";"g";240;100;"+"
33,25;3;"y";"p";"aa";0;"f";"g";180;0;"-"
35,42;12;"u";"g";"q";8;"f";"g";0;6590;"+"
22,42;11,25;"y";"p";"x";4;"f";"g";0;321;"+"
28,58;3,54;"u";"g";"i";0;"t";"g";171;0;"-"
20,42;10,5;"y";"p";"x";0;"t";"g";154;32;"-"
23,08;11,5;"u";"g";"w";11;"t";"g";290;284;"+"
47,33;6,5;"u";"g";"c";0;"t";"g";0;228;"-"
21,33;7,5;"u";"g";"aa";1;"f";"g";80;9800;"+"
21,58;0,79;"y";"p";"cc";0;"f";"g";160;0;"-"
34,92;5;"u";"g";"x";6;"t";"g";0;1000;"+"
34,17;5,25;"u";"g";"w";0;"t";"g";290;6;"+"
26,17;0,835;"u";"g";"cc";0;"f";"g";100;0;"-"
23,25;12,625;"u";"g";"c";2;"f";"g";0;5552;"-"
31,08;1,5;"y";"p";"w";0;"f";"s";160;0;"-"
31,75;3;"y";"p";"j";0;"f";"g";160;20;"-"
22,75;6,165;"u";"g";"aa";0;"f";"g";220;1000;"-"
57,42;8,5;"u";"g";"e";3;"f";"g";0;0;"+"
36,75;4,71;"u";"g";"ff";0;"f";"g";160;0;"-"
38,58;5;"u";"g";"cc";0;"t";"g";980;0;"-"
22,92;0,17;"u";"g";"m";0;"f";"s";0;0;"-"
27,83;1,54;"u";"g";"w";5;"t";"g";100;3;"+"
29,58;4,5;"u";"g";"w";2;"t";"g";330;0;"+"
24,58;1,25;"u";"g";"c";0;"f";"g";110;0;"-"
25;12,5;"u";"g";"aa";0;"t";"s";20;0;"+"
21,42;0,75;"y";"p";"r";0;"t";"g";132;2;"-"
18,25;10;"u";"g";"w";1;"f";"g";120;1;"-"
18,67;5;"u";"g";"q";2;"f";"g";0;38;"-"
51,83;2,04;"y";"p";"ff";0;"f";"g";120;1;"-"
29,42;1,25;"u";"g";"c";2;"t";"g";400;108;"-"
33,58;0,335;"y";"p";"cc";0;"f";"g";180;0;"-"
25;12,33;"u";"g";"cc";6;"f";"g";400;458;"+"
36,67;2;"u";"g";"i";0;"t";"g";221;0;"-"
19,67;0,21;"u";"g";"q";11;"f";"g";80;99;"+"
15,83;0,585;"u";"g";"c";2;"f";"g";100;0;"+"
28;3;"u";"g";"w";0;"t";"g";300;67;"-"
39,08;6;"u";"g";"m";5;"t";"g";108;1097;"+"
23,42;1;"u";"g";"c";0;"t";"s";280;0;"-"
15,17;7;"u";"g";"e";0;"f";"g";600;0;"-"
19;1,75;"y";"p";"c";0;"t";"g";112;6;"-"
59,5;2,75;"u";"g";"w";5;"t";"g";60;58;"+"
31,42;15,5;"u";"g";"c";0;"f";"g";120;0;"-"
42,08;1,04;"u";"g";"w";6;"t";"g";500;10000;"+"
39,08;4;"u";"g";"c";0;"f";"g";480;0;"-"
23,42;0,585;"u";"g";"c";0;"f";"g";180;0;"-"
32,83;2,5;"u";"g";"cc";6;"f";"g";160;2072;"+"
35,17;3,75;"u";"g";"ff";6;"f";"g";0;200;"-"
30,58;10,665;"u";"g";"q";12;"t";"g";129;3;"-"
23,25;1;"u";"g";"c";0;"f";"s";300;0;"+"
19,42;6,5;"u";"g";"w";7;"f";"g";80;2954;"+"
33,25;2,5;"y";"p";"c";0;"t";"g";0;2;"-"
27,75;1,29;"u";"g";"k";0;"t";"s";140;0;"-"
39,83;0,5;"u";"g";"m";0;"f";"s";288;0;"-"
18,42;10,415;"y";"p";"aa";0;"f";"g";120;375;"-"
33,08;1,625;"u";"g";"d";0;"t";"g";0;0;"-"
21,5;9,75;"u";"g";"c";0;"f";"g";140;0;"-"
33,17;1,04;"u";"g";"r";0;"t";"g";164;31285;"+"
34,75;2,5;"u";"g";"cc";0;"f";"g";348;0;"-"
20,67;1,25;"y";"p";"c";3;"t";"g";140;210;"-"
23,5;1,5;"u";"g";"w";0;"t";"g";160;0;"-"
29,67;0,75;"y";"p";"c";0;"f";"g";240;0;"-"
59,67;1,54;"u";"g";"q";0;"t";"g";260;0;"+"
20;0;"u";"g";"d";0;"f";"g";144;0;"-"
44,33;0;"u";"g";"c";0;"f";"g";0;0;"+"
32,92;2,5;"u";"g";"aa";2;"t";"g";720;0;"-"
19,17;8,585;"u";"g";"cc";7;"f";"g";96;0;"+"
28,25;5,125;"u";"g";"x";2;"f";"g";420;7;"+"
43,17;5;"u";"g";"i";0;"t";"g";141;0;"-"
34;4,5;"u";"g";"aa";0;"t";"g";240;0;"-"
39,92;0,54;"y";"p";"aa";3;"f";"g";200;1000;"+"
25,33;0,58;"u";"g";"c";7;"t";"g";96;5124;"+"
45,17;1,5;"u";"g";"c";0;"t";"g";140;0;"-"
23,08;2,5;"u";"g";"c";11;"t";"g";60;2184;"+"
68,67;15;"u";"g";"e";14;"f";"g";0;3376;"+"
22,17;0,585;"y";"p";"ff";0;"f";"g";100;0;"-"
33,75;2,75;"u";"g";"i";0;"f";"g";180;0;"-"
18,5;2;"u";"g";"i";2;"f";"g";120;300;"+"
25,67;2,21;"y";"p";"aa";0;"f";"g";188;0;"-"
18,83;9,54;"u";"g";"aa";0;"f";"g";100;0;"+"
18,92;9;"u";"g";"aa";2;"f";"g";88;591;"+"
16,33;4,085;"u";"g";"i";0;"t";"g";120;0;"-"
16,08;0,75;"u";"g";"c";5;"t";"g";352;690;"+"
23,42;0,79;"y";"p";"q";2;"t";"g";80;400;"+"
20,08;1,25;"u";"g";"c";0;"f";"g";0;0;"-"
25;11;"y";"p";"aa";0;"f";"g";120;0;"-"
21,75;11,75;"u";"g";"c";0;"t";"g";180;0;"-"
22,83;3;"u";"g";"m";1;"f";"g";260;800;"+"
47,42;8;"u";"g";"e";6;"f";"g";375;51100;"+"
27;1,5;"y";"p";"w";0;"t";"g";260;1065;"+"
50,08;12,54;"u";"g";"aa";3;"t";"g";156;0;"+"
28,5;1;"u";"g";"q";2;"t";"g";167;500;"-"
26,08;8,665;"u";"g";"aa";0;"f";"g";160;150;"+"
32,75;2,335;"u";"g";"d";0;"t";"g";292;0;"-"
32,25;0,165;"y";"p";"c";1;"t";"g";432;8000;"+"
33,5;1,75;"u";"g";"x";4;"t";"g";253;857;"+"
25,5;0,375;"u";"g";"m";3;"f";"g";260;15108;"+"
31,25;2,835;"u";"g";"ff";5;"f";"g";176;146;"-"
28;2;"u";"g";"k";2;"t";"g";181;0;"+"
34,08;6,5;"u";"g";"aa";0;"t";"g";443;0;"-"
40,92;2,25;"y";"p";"x";0;"t";"g";176;0;"-"
58,58;2,71;"u";"g";"c";0;"t";"g";320;0;"-"
42,83;1,25;"u";"g";"m";1;"t";"g";352;112;"-"
28,67;9,335;"u";"g";"q";6;"f";"g";381;168;"+"
